,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys,openYear
6237,20202432,착한 형수 : 두 부부가 이혼한 날 무삭제,,2020,20201123,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이대길'}],뷰소프트,2020
6238,20203884,착한 형수 : 두 부부가 이혼한 날,,2020,20201123,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이대길'}],뷰소프트,2020
6242,20201775,아는사이,,2020,20201120,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '에로핑'}],비스킷미디어,2020
6243,20203047,팽말숙 : 실전주의,,2020,20201119,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],(주)담화,2020
6246,20202027,섹스 소녀 7,,2020,20201117,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6247,20201631,비키니 바 : 맛있는 서비스,,2020,20201117,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '조태호'}],(주)영화사가을,2020
6249,20201651,못말리는 사촌동생,,2020,20201116,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '최성은'}],(주)영화사히트,2020
6252,20209047,18 섹시퀸 유진의 섹스 스캔들,,2020,20201113,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6253,20200201,편의점 알바생 변태사장의교육,,2019,20201113,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,[{'peopleNm': '한동호'}],(주)가온콘텐츠,2020
6254,20200064,여자친구의 맛 2,,2020,20201113,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],라임필름,2020
6255,20206232,아들의 여친 아빠의 여친,,2020,20201113,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '주현일'}],(주)담화,2020
6256,20201984,스와핑 : 두 부부의 이혼여행 무삭제,,2020,20201112,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이대길'}],뷰소프트,2020
6257,20200752,욕망 : 친구의 아내,,2020,20201111,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],(주)영화사가을,2020
